Software, 0.0479788946906788%, 27000000
Tablet computers, 0.0131497711374453%, 7400000
Consumer electronics, 0.1995531079990314%, 
Audio equipment, 0.0003731691809275018%, 210000
Camcorders, 0.0005153288688998834%, 290000
Cameras, 0.017769960996547703%, 10000000
GPS devices, 0.0005864087128860742%, 330000
Game consoles, 0.021323953195857243%, 12000000
Mobile phones, 0.05686387518895265%, 32000000
Portable media players, 0.0003376292589344064%, 190000
Projectors, 0.0001741456177661675%, 98000
Smartphones, 0.03198592979378587%, 18000000
Televisions, 0.06930284788653604%, 39000000
eBook readers, 0.00031985929793785866%, 180000
